dataforfid,known_as,offpass,offrush,offtotyds,defpass,defrush,deftotyds,pf,pa
18,Baltimore Ravens,4035,3189,7224,4150,1361,5511,518,361
2,Detroit Lions,4305,2488,6962,4048,1672,5820,564,342
8,Tampa Bay Buccaneers,4141,2535,6792,4043,1663,5810,502,385
56,San Francisco 49ers,4047,2163,6400,3252,2118,5396,389,436
5,Atlanta Falcons,3904,2219,6303,3614,2051,5868,389,423
3,Green Bay Packers,3702,2496,6298,3489,1689,5347,460,338
34,Washington Commanders,3665,2619,6284,3227,2331,5558,485,391
1,Philadelphia Eagles,3320,3048,6242,2895,1771,4732,463,303
19,Cincinnati Bengals,4355,1574,6214,3789,2122,5921,472,434
9,Buffalo Bills,3636,2230,6105,3660,1963,5806,525,368
45,Arizona Cardinals,3525,2451,6090,3617,2149,5823,400,379
4,Minnesota Vikings,3840,1855,5898,3937,1588,5705,432,332
24,Indianapolis Colts,3361,2331,5692,3899,2241,6140,377,427
67,Seattle Seahawks,3963,1627,5647,3505,2053,5672,375,368
76,Los Angeles Rams,3685,1765,5633,3549,2210,5998,367,386
15,Kansas City Chiefs,3674,1790,5570,3620,1731,5451,385,326
12,Dallas Cowboys,3852,1705,5567,3423,2331,6039,350,468
10,Miami Dolphins,3450,1795,5532,3346,1763,5345,345,364
14,Denver Broncos,3610,1908,5518,3752,1639,5391,425,311
17,Los Angeles Chargers,3531,1882,5513,3411,1997,5514,402,301
7,New Orleans Saints,3380,1954,5442,3954,2404,6459,338,398
22,Houston Texans,3526,1909,5435,3417,1938,5355,372,372
21,Pittsburgh Steelers,3237,2166,5430,3786,1678,5556,380,347
13,New York Jets,3478,1561,5275,2988,2058,5333,338,404
25,Jacksonville Jaguars,3328,1729,5206,4355,2254,6629,320,435
26,Tennessee Titans,3297,1855,5172,2865,2277,5291,311,460
16,Las Vegas Raiders,3693,1357,5154,3560,1987,5663,309,434
20,Cleveland Browns,3414,1608,5114,3584,2205,5816,258,435
6,Carolina Panthers,3122,1878,5066,3946,3057,6877,341,534
23,New York Giants,3127,1783,5011,3472,2315,5895,273,415
11,New England Patriots,2995,1968,4963,3596,2233,5829,289,417
77,Chicago Bears,3066,1728,4820,3515,2317,6022,310,370
