gameid,leagid,leagyear,weeknum,gamedate,awayid,atmloc,aconfid,aconf,adivid,adivname,homeid,htmloc,hconfid,hconf,hdivid,hdivname,ascore,hscore,spread,ou,totalou,favid,dogid,winteamid,loseteamid,isconf,isdiv,ot,so,lineoutcomeid,lineoutcome,totaloutcomeid,totaloutcome,siteloc,gametypeid
120241,1,2024,1,2024-09-05 00:00:00,18,Baltimore,7,American,4,North,15,Kansas City,7,American,14,West,20,27,3.0,46.5,47.0,15,18,15,18,1,0,0,0,3,favorite win and cover,6,over,1,1
120242,1,2024,1,2024-09-06 00:00:00,3,Green Bay,6,National,4,North,1,Philadelphia,6,National,5,East,29,34,2.0,48.5,63.0,1,3,1,3,1,0,0,0,3,favorite win and cover,6,over,2,1
120243,1,2024,1,2024-09-08 00:00:00,21,Pittsburgh,7,American,4,North,5,Atlanta,6,National,8,South,18,10,4.0,42.0,28.0,5,21,21,5,0,0,0,0,2,dog win and cover,5,under,1,1
120244,1,2024,1,2024-09-08 00:00:00,45,Arizona,6,National,14,West,9,Buffalo,7,American,5,East,28,34,6.5,46.0,62.0,9,45,9,45,0,0,0,0,4,dog cover | favorite win,6,over,1,1
120245,1,2024,1,2024-09-08 00:00:00,26,Tennessee,7,American,8,South,77,Chicago,6,National,4,North,17,24,4.0,44.0,41.0,77,26,77,26,0,0,0,0,3,favorite win and cover,5,under,1,1
120246,1,2024,1,2024-09-08 00:00:00,11,New England,7,American,5,East,19,Cincinnati,7,American,4,North,16,10,7.5,41.0,26.0,19,11,11,19,1,0,0,0,2,dog win and cover,5,under,1,1
120247,1,2024,1,2024-09-08 00:00:00,22,Houston,7,American,8,South,24,Indianapolis,7,American,8,South,29,27,3.0,49.0,56.0,22,24,22,24,1,1,0,0,4,dog cover | favorite win,6,over,1,1
120248,1,2024,1,2024-09-08 00:00:00,25,Jacksonville,7,American,8,South,10,Miami,7,American,5,East,17,20,3.5,49.5,37.0,10,25,10,25,1,0,0,0,4,dog cover | favorite win,5,under,1,1
120249,1,2024,1,2024-09-08 00:00:00,6,Carolina,6,National,8,South,7,New Orleans,6,National,8,South,10,47,3.5,41.5,57.0,7,6,7,6,1,1,0,0,3,favorite win and cover,6,over,1,1
1202410,1,2024,1,2024-09-08 00:00:00,4,Minnesota,6,National,4,North,23,New York-N,6,National,5,East,28,6,1.5,41.0,34.0,4,23,4,23,1,0,0,0,3,favorite win and cover,5,under,1,1
1202411,1,2024,1,2024-09-08 00:00:00,16,Las Vegas,7,American,14,West,17,Los Angeles-A,7,American,14,West,10,22,3.0,40.0,32.0,17,16,17,16,1,1,0,0,3,favorite win and cover,5,under,1,1
1202412,1,2024,1,2024-09-08 00:00:00,14,Denver,7,American,14,West,67,Seattle,6,National,14,West,20,26,6.5,42.0,46.0,67,14,67,14,0,0,0,0,4,dog cover | favorite win,6,over,1,1
1202413,1,2024,1,2024-09-08 00:00:00,12,Dallas,6,National,5,East,20,Cleveland,7,American,4,North,33,17,2.5,41.0,50.0,20,12,12,20,0,0,0,0,2,dog win and cover,6,over,1,1
1202414,1,2024,1,2024-09-08 00:00:00,34,Washington,6,National,5,East,8,Tampa Bay,6,National,8,South,20,37,3.5,42.5,57.0,8,34,8,34,1,0,0,0,3,favorite win and cover,6,over,1,1
1202415,1,2024,1,2024-09-08 00:00:00,76,Los Angeles-N,6,National,14,West,2,Detroit,6,National,4,North,20,26,4.5,52.5,46.0,2,76,2,76,1,0,1,0,3,favorite win and cover,5,under,1,1
1202416,1,2024,1,2024-09-09 00:00:00,13,New York-A,7,American,5,East,56,San Francisco,6,National,14,West,19,32,4.0,43.5,51.0,56,13,56,13,0,0,0,0,3,favorite win and cover,6,over,1,1
1202417,1,2024,2,2024-09-12 00:00:00,9,Buffalo,7,American,5,East,10,Miami,7,American,5,East,31,10,2.5,49.0,41.0,10,9,9,10,1,1,0,0,2,dog win and cover,5,under,1,1
1202418,1,2024,2,2024-09-15 00:00:00,7,New Orleans,6,National,8,South,12,Dallas,6,National,5,East,44,19,6.5,45.5,63.0,12,7,7,12,1,0,0,0,2,dog win and cover,6,over,1,1
1202419,1,2024,2,2024-09-15 00:00:00,8,Tampa Bay,6,National,8,South,2,Detroit,6,National,4,North,20,16,7.0,51.5,36.0,2,8,8,2,1,0,0,0,2,dog win and cover,5,under,1,1
1202420,1,2024,2,2024-09-15 00:00:00,24,Indianapolis,7,American,8,South,3,Green Bay,6,National,4,North,10,16,3.0,41.0,26.0,24,3,3,24,0,0,0,0,2,dog win and cover,5,under,1,1
1202421,1,2024,2,2024-09-15 00:00:00,13,New York-A,7,American,5,East,26,Tennessee,7,American,8,South,24,17,3.5,40.5,41.0,13,26,13,26,1,0,0,0,3,favorite win and cover,6,over,1,1
1202422,1,2024,2,2024-09-15 00:00:00,56,San Francisco,6,National,14,West,4,Minnesota,6,National,4,North,17,23,6.0,45.5,40.0,56,4,4,56,1,0,0,0,2,dog win and cover,5,under,1,1
1202423,1,2024,2,2024-09-15 00:00:00,67,Seattle,6,National,14,West,11,New England,7,American,5,East,23,20,3.5,38.0,43.0,67,11,67,11,0,0,1,0,4,dog cover | favorite win,6,over,1,1
1202424,1,2024,2,2024-09-15 00:00:00,23,New York-N,6,National,5,East,34,Washington,6,National,5,East,18,21,1.5,44.0,39.0,34,23,34,23,1,1,0,0,3,favorite win and cover,5,under,1,1
1202425,1,2024,2,2024-09-15 00:00:00,17,Los Angeles-A,7,American,14,West,6,Carolina,6,National,8,South,26,3,6.5,39.0,29.0,17,6,17,6,0,0,0,0,3,favorite win and cover,5,under,1,1
1202426,1,2024,2,2024-09-15 00:00:00,20,Cleveland,7,American,4,North,25,Jacksonville,7,American,8,South,18,13,3.0,41.5,31.0,25,20,20,25,1,0,0,0,2,dog win and cover,5,under,1,1
1202427,1,2024,2,2024-09-15 00:00:00,16,Las Vegas,7,American,14,West,18,Baltimore,7,American,4,North,26,23,9.5,41.5,49.0,18,16,16,18,1,0,0,0,2,dog win and cover,6,over,1,1
1202428,1,2024,2,2024-09-15 00:00:00,76,Los Angeles-N,6,National,14,West,45,Arizona,6,National,14,West,10,41,1.5,49.0,51.0,45,76,45,76,1,1,0,0,3,favorite win and cover,6,over,1,1
1202429,1,2024,2,2024-09-15 00:00:00,21,Pittsburgh,7,American,4,North,14,Denver,7,American,14,West,13,6,2.5,36.5,19.0,21,14,21,14,1,0,0,0,3,favorite win and cover,5,under,1,1
1202430,1,2024,2,2024-09-15 00:00:00,19,Cincinnati,7,American,4,North,15,Kansas City,7,American,14,West,25,26,5.5,47.5,51.0,15,19,15,19,1,0,0,0,4,dog cover | favorite win,6,over,1,1
1202431,1,2024,2,2024-09-15 00:00:00,77,Chicago,6,National,4,North,22,Houston,7,American,8,South,13,19,6.0,45.5,32.0,22,77,22,77,0,0,0,0,0,push,5,under,1,1
1202432,1,2024,2,2024-09-16 00:00:00,5,Atlanta,6,National,8,South,1,Philadelphia,6,National,5,East,22,21,6.5,47.0,43.0,1,5,5,1,1,0,0,0,2,dog win and cover,5,under,1,1
1202433,1,2024,3,2024-09-19 00:00:00,11,New England,7,American,5,East,13,New York-A,7,American,5,East,3,24,6.5,38.5,27.0,13,11,13,11,1,1,0,0,3,favorite win and cover,5,under,1,1
1202434,1,2024,3,2024-09-22 00:00:00,23,New York-N,6,National,5,East,20,Cleveland,7,American,4,North,21,15,6.5,38.5,36.0,20,23,23,20,0,0,0,0,2,dog win and cover,5,under,1,1
1202435,1,2024,3,2024-09-22 00:00:00,3,Green Bay,6,National,4,North,26,Tennessee,7,American,8,South,30,14,3.0,36.5,44.0,26,3,3,26,0,0,0,0,2,dog win and cover,6,over,1,1
1202436,1,2024,3,2024-09-22 00:00:00,77,Chicago,6,National,4,North,24,Indianapolis,7,American,8,South,16,21,1.0,43.5,37.0,24,77,24,77,0,0,0,0,3,favorite win and cover,5,under,1,1
1202437,1,2024,3,2024-09-22 00:00:00,22,Houston,7,American,8,South,4,Minnesota,6,National,4,North,7,34,2.5,46.0,41.0,22,4,4,22,0,0,0,0,2,dog win and cover,5,under,1,1
1202438,1,2024,3,2024-09-22 00:00:00,1,Philadelphia,6,National,5,East,7,New Orleans,6,National,8,South,15,12,3.0,49.5,27.0,7,1,1,7,1,0,0,0,2,dog win and cover,5,under,1,1
1202439,1,2024,3,2024-09-22 00:00:00,17,Los Angeles-A,7,American,14,West,21,Pittsburgh,7,American,4,North,10,20,1.5,35.5,30.0,21,17,21,17,1,0,0,0,3,favorite win and cover,5,under,1,1
1202440,1,2024,3,2024-09-22 00:00:00,14,Denver,7,American,14,West,8,Tampa Bay,6,National,8,South,26,7,7.0,39.5,33.0,8,14,14,8,0,0,0,0,2,dog win and cover,5,under,1,1
1202441,1,2024,3,2024-09-22 00:00:00,6,Carolina,6,National,8,South,16,Las Vegas,7,American,14,West,36,22,5.5,41.0,58.0,16,6,6,16,0,0,0,0,2,dog win and cover,6,over,1,1
1202442,1,2024,3,2024-09-22 00:00:00,10,Miami,7,American,5,East,67,Seattle,6,National,14,West,3,24,4.5,41.5,27.0,67,10,67,10,0,0,0,0,3,favorite win and cover,5,under,1,1
1202443,1,2024,3,2024-09-22 00:00:00,18,Baltimore,7,American,4,North,12,Dallas,6,National,5,East,28,25,1.5,48.5,53.0,18,12,18,12,0,0,0,0,3,favorite win and cover,6,over,1,1
1202444,1,2024,3,2024-09-22 00:00:00,56,San Francisco,6,National,14,West,76,Los Angeles-N,6,National,14,West,24,27,7.5,43.5,51.0,56,76,76,56,1,1,0,0,2,dog win and cover,6,over,1,1
1202445,1,2024,3,2024-09-22 00:00:00,2,Detroit,6,National,4,North,45,Arizona,6,National,14,West,20,13,3.0,52.5,33.0,2,45,2,45,1,0,0,0,3,favorite win and cover,5,under,1,1
1202446,1,2024,3,2024-09-22 00:00:00,15,Kansas City,7,American,14,West,5,Atlanta,6,National,8,South,22,17,3.5,46.5,39.0,15,5,15,5,0,0,0,0,3,favorite win and cover,5,under,1,1
1202447,1,2024,3,2024-09-23 00:00:00,25,Jacksonville,7,American,8,South,9,Buffalo,7,American,5,East,10,47,5.5,45.5,57.0,9,25,9,25,1,0,0,0,3,favorite win and cover,6,over,1,1
1202448,1,2024,3,2024-09-23 00:00:00,34,Washington,6,National,5,East,19,Cincinnati,7,American,4,North,38,33,7.5,48.5,71.0,19,34,34,19,0,0,0,0,2,dog win and cover,6,over,1,1
1202449,1,2024,4,2024-09-26 00:00:00,12,Dallas,6,National,5,East,23,New York-N,6,National,5,East,20,15,5.5,45.0,35.0,12,23,12,23,1,1,0,0,4,dog cover | favorite win,5,under,1,1
1202450,1,2024,4,2024-09-29 00:00:00,7,New Orleans,6,National,8,South,5,Atlanta,6,National,8,South,24,26,2.5,42.0,50.0,5,7,5,7,1,1,0,0,4,dog cover | favorite win,6,over,1,1
1202451,1,2024,4,2024-09-29 00:00:00,76,Los Angeles-N,6,National,14,West,77,Chicago,6,National,4,North,18,24,3.0,41.0,42.0,77,76,77,76,1,0,0,0,3,favorite win and cover,6,over,1,1
1202452,1,2024,4,2024-09-29 00:00:00,4,Minnesota,6,National,4,North,3,Green Bay,6,National,4,North,31,29,2.5,43.5,60.0,3,4,4,3,1,1,0,0,2,dog win and cover,6,over,1,1
1202453,1,2024,4,2024-09-29 00:00:00,21,Pittsburgh,7,American,4,North,24,Indianapolis,7,American,8,South,24,27,1.5,40.0,51.0,21,24,24,21,1,0,0,0,2,dog win and cover,6,over,1,1
1202454,1,2024,4,2024-09-29 00:00:00,14,Denver,7,American,14,West,13,New York-A,7,American,5,East,10,9,7.5,39.5,19.0,13,14,14,13,1,0,0,0,2,dog win and cover,5,under,1,1
1202455,1,2024,4,2024-09-29 00:00:00,1,Philadelphia,6,National,5,East,8,Tampa Bay,6,National,8,South,16,33,1.5,43.0,49.0,1,8,8,1,1,0,0,0,2,dog win and cover,6,over,1,1
1202456,1,2024,4,2024-09-29 00:00:00,19,Cincinnati,7,American,4,North,6,Carolina,6,National,8,South,34,24,4.5,47.5,58.0,19,6,19,6,0,0,0,0,3,favorite win and cover,6,over,1,1
1202457,1,2024,4,2024-09-29 00:00:00,25,Jacksonville,7,American,8,South,22,Houston,7,American,8,South,20,24,6.0,45.5,44.0,22,25,22,25,1,1,0,0,4,dog cover | favorite win,5,under,1,1
1202458,1,2024,4,2024-09-29 00:00:00,34,Washington,6,National,5,East,45,Arizona,6,National,14,West,42,14,3.5,50.5,56.0,45,34,34,45,1,0,0,0,2,dog win and cover,6,over,1,1
1202459,1,2024,4,2024-09-29 00:00:00,11,New England,7,American,5,East,56,San Francisco,6,National,14,West,13,30,10.5,40.5,43.0,56,11,56,11,0,0,0,0,3,favorite win and cover,6,over,1,1
1202460,1,2024,4,2024-09-29 00:00:00,20,Cleveland,7,American,4,North,16,Las Vegas,7,American,14,West,16,20,2.0,37.0,36.0,16,20,16,20,1,0,0,0,3,favorite win and cover,5,under,1,1
1202461,1,2024,4,2024-09-29 00:00:00,15,Kansas City,7,American,14,West,17,Los Angeles-A,7,American,14,West,17,10,7.0,39.5,27.0,15,17,15,17,1,1,0,0,0,push,5,under,1,1
1202462,1,2024,4,2024-09-29 00:00:00,9,Buffalo,7,American,5,East,18,Baltimore,7,American,4,North,10,35,2.5,46.5,45.0,18,9,18,9,1,0,0,0,3,favorite win and cover,5,under,1,1
1202463,1,2024,4,2024-09-30 00:00:00,26,Tennessee,7,American,8,South,10,Miami,7,American,5,East,31,12,1.0,36.5,43.0,10,26,26,10,1,0,0,0,2,dog win and cover,6,over,1,1
1202464,1,2024,4,2024-09-30 00:00:00,67,Seattle,6,National,14,West,2,Detroit,6,National,4,North,29,42,3.5,46.5,71.0,2,67,2,67,1,0,0,0,3,favorite win and cover,6,over,1,1
1202465,1,2024,5,2024-10-03 00:00:00,8,Tampa Bay,6,National,8,South,5,Atlanta,6,National,8,South,30,36,1.5,43.5,66.0,5,8,5,8,1,1,1,0,3,favorite win and cover,6,over,1,1
1202466,1,2024,5,2024-10-06 00:00:00,13,New York-A,7,American,5,East,4,Minnesota,6,National,4,North,17,23,2.5,40.5,40.0,4,13,4,13,0,0,0,0,3,favorite win and cover,5,under,2,1
1202467,1,2024,5,2024-10-06 00:00:00,6,Carolina,6,National,8,South,77,Chicago,6,National,4,North,10,36,3.5,42.0,46.0,77,6,77,6,1,0,0,0,3,favorite win and cover,6,over,1,1
1202468,1,2024,5,2024-10-06 00:00:00,18,Baltimore,7,American,4,North,19,Cincinnati,7,American,4,North,41,38,2.5,50.5,79.0,18,19,18,19,1,1,1,0,3,favorite win and cover,6,over,1,1
1202469,1,2024,5,2024-10-06 00:00:00,10,Miami,7,American,5,East,11,New England,7,American,5,East,15,10,1.0,35.5,25.0,11,10,10,11,1,1,0,0,2,dog win and cover,5,under,1,1
1202470,1,2024,5,2024-10-06 00:00:00,20,Cleveland,7,American,4,North,34,Washington,6,National,5,East,13,34,3.5,44.5,47.0,34,20,34,20,0,0,0,0,3,favorite win and cover,6,over,1,1
1202471,1,2024,5,2024-10-06 00:00:00,24,Indianapolis,7,American,8,South,25,Jacksonville,7,American,8,South,34,37,3.0,46.0,71.0,25,24,25,24,1,1,0,0,0,push,6,over,1,1
1202472,1,2024,5,2024-10-06 00:00:00,9,Buffalo,7,American,5,East,22,Houston,7,American,8,South,20,23,1.0,47.5,43.0,9,22,22,9,1,0,0,0,2,dog win and cover,5,under,1,1
1202473,1,2024,5,2024-10-06 00:00:00,16,Las Vegas,7,American,14,West,14,Denver,7,American,14,West,18,34,3.0,36.5,52.0,14,16,14,16,1,1,0,0,3,favorite win and cover,6,over,1,1
