gameid,leagid,leagyear,teamid,oppteamid,pf,pa,cpf,cpa,win,loss,tie,ot,so,otl,rw,rotw,sow,sol,pts,confw,confl,conft,divw,divl,divt,isdog,isfav,ispick,dogout,dogcover,ispush,favcover,iscover,isdogmlcover,isfavmlcover,isover,isunder,isoupush,ishomew,ishomel,ishomet,isawayw,isawayl,isawayt,home_away,teamlocation,teamname,confid,confname,divid,divname,oppteamlocation,oppteamname,oppconfid,oppconfname,oppdivid,oppdivname,isconf,isdiv,weeknum,gamedate,spread,ou,dogml,favml,gametypeid,siteloc
120241,1,2024,15,18,27,20,27,20,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,home,Kansas City,Chiefs,7,American,14,West,Baltimore,Ravens,7,American,4,North,1,0,1,2024-09-05 00:00:00,3.0,46.5,130.0,-155.0,1,1
120241,1,2024,18,15,20,27,20,27,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,away,Baltimore,Ravens,7,American,4,North,Kansas City,Chiefs,7,American,14,West,1,0,1,2024-09-05 00:00:00,3.0,46.5,130.0,-155.0,1,1
120242,1,2024,1,3,34,29,34,29,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,home,Philadelphia,Eagles,6,National,5,East,Green Bay,Packers,6,National,4,North,1,0,1,2024-09-06 00:00:00,2.0,48.5,110.0,-130.0,1,2
120242,1,2024,3,1,29,34,29,34,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,away,Green Bay,Packers,6,National,4,North,Philadelphia,Eagles,6,National,5,East,1,0,1,2024-09-06 00:00:00,2.0,48.5,110.0,-130.0,1,2
120243,1,2024,5,21,10,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,home,Atlanta,Falcons,6,National,8,South,Pittsburgh,Steelers,7,American,4,North,0,0,1,2024-09-08 00:00:00,4.0,42.0,165.0,-200.0,1,1
120243,1,2024,21,5,18,10,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,away,Pittsburgh,Steelers,7,American,4,North,Atlanta,Falcons,6,National,8,South,0,0,1,2024-09-08 00:00:00,4.0,42.0,165.0,-200.0,1,1
120244,1,2024,9,45,34,28,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,home,Buffalo,Bills,7,American,5,East,Arizona,Cardinals,6,National,14,West,0,0,1,2024-09-08 00:00:00,6.5,46.0,240.0,-300.0,1,1
120244,1,2024,45,9,28,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,away,Arizona,Cardinals,6,National,14,West,Buffalo,Bills,7,American,5,East,0,0,1,2024-09-08 00:00:00,6.5,46.0,240.0,-300.0,1,1
120245,1,2024,26,77,17,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,away,Tennessee,Titans,7,American,8,South,Chicago,Bears,6,National,4,North,0,0,1,2024-09-08 00:00:00,4.0,44.0,165.0,-200.0,1,1
120245,1,2024,77,26,24,17,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,home,Chicago,Bears,6,National,4,North,Tennessee,Titans,7,American,8,South,0,0,1,2024-09-08 00:00:00,4.0,44.0,165.0,-200.0,1,1
120246,1,2024,11,19,16,10,16,10,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,away,New England,Patriots,7,American,5,East,Cincinnati,Bengals,7,American,4,North,1,0,1,2024-09-08 00:00:00,7.5,41.0,310.0,-400.0,1,1
120246,1,2024,19,11,10,16,10,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,home,Cincinnati,Bengals,7,American,4,North,New England,Patriots,7,American,5,East,1,0,1,2024-09-08 00:00:00,7.5,41.0,310.0,-400.0,1,1
120247,1,2024,22,24,29,27,29,27,1,0,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,away,Houston,Texans,7,American,8,South,Indianapolis,Colts,7,American,8,South,1,1,1,2024-09-08 00:00:00,3.0,49.0,135.0,-160.0,1,1
120247,1,2024,24,22,27,29,27,29,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,home,Indianapolis,Colts,7,American,8,South,Houston,Texans,7,American,8,South,1,1,1,2024-09-08 00:00:00,3.0,49.0,135.0,-160.0,1,1
120248,1,2024,10,25,20,17,20,17,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,home,Miami,Dolphins,7,American,5,East,Jacksonville,Jaguars,7,American,8,South,1,0,1,2024-09-08 00:00:00,3.5,49.5,150.0,-185.0,1,1
120248,1,2024,25,10,17,20,17,20,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,away,Jacksonville,Jaguars,7,American,8,South,Miami,Dolphins,7,American,5,East,1,0,1,2024-09-08 00:00:00,3.5,49.5,150.0,-185.0,1,1
120249,1,2024,6,7,10,47,10,47,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,away,Carolina,Panthers,6,National,8,South,New Orleans,Saints,6,National,8,South,1,1,1,2024-09-08 00:00:00,3.5,41.5,155.0,-190.0,1,1
120249,1,2024,7,6,47,10,47,10,1,0,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,home,New Orleans,Saints,6,National,8,South,Carolina,Panthers,6,National,8,South,1,1,1,2024-09-08 00:00:00,3.5,41.5,155.0,-190.0,1,1
1202410,1,2024,4,23,28,6,28,6,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,away,Minnesota,Vikings,6,National,4,North,New York-N,Giants,6,National,5,East,1,0,1,2024-09-08 00:00:00,1.5,41.0,105.0,-125.0,1,1
1202410,1,2024,23,4,6,28,6,28,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,home,New York-N,Giants,6,National,5,East,Minnesota,Vikings,6,National,4,North,1,0,1,2024-09-08 00:00:00,1.5,41.0,105.0,-125.0,1,1
1202411,1,2024,16,17,10,22,10,22,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,away,Las Vegas,Raiders,7,American,14,West,Los Angeles-A,Chargers,7,American,14,West,1,1,1,2024-09-08 00:00:00,3.0,40.0,130.0,-155.0,1,1
1202411,1,2024,17,16,22,10,22,10,1,0,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,home,Los Angeles-A,Chargers,7,American,14,West,Las Vegas,Raiders,7,American,14,West,1,1,1,2024-09-08 00:00:00,3.0,40.0,130.0,-155.0,1,1
1202412,1,2024,14,67,20,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,away,Denver,Broncos,7,American,14,West,Seattle,Seahawks,6,National,14,West,0,0,1,2024-09-08 00:00:00,6.5,42.0,220.0,-275.0,1,1
1202412,1,2024,67,14,26,20,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,home,Seattle,Seahawks,6,National,14,West,Denver,Broncos,7,American,14,West,0,0,1,2024-09-08 00:00:00,6.5,42.0,220.0,-275.0,1,1
1202413,1,2024,12,20,33,17,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,away,Dallas,Cowboys,6,National,5,East,Cleveland,Browns,7,American,4,North,0,0,1,2024-09-08 00:00:00,2.5,41.0,110.0,-130.0,1,1
1202413,1,2024,20,12,17,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,home,Cleveland,Browns,7,American,4,North,Dallas,Cowboys,6,National,5,East,0,0,1,2024-09-08 00:00:00,2.5,41.0,110.0,-130.0,1,1
1202414,1,2024,8,34,37,20,37,20,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,home,Tampa Bay,Buccaneers,6,National,8,South,Washington,Commanders,6,National,5,East,1,0,1,2024-09-08 00:00:00,3.5,42.5,155.0,-190.0,1,1
1202414,1,2024,34,8,20,37,20,37,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,away,Washington,Commanders,6,National,5,East,Tampa Bay,Buccaneers,6,National,8,South,1,0,1,2024-09-08 00:00:00,3.5,42.5,155.0,-190.0,1,1
1202415,1,2024,2,76,26,20,26,20,1,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,home,Detroit,Lions,6,National,4,North,Los Angeles-N,Rams,6,National,14,West,1,0,1,2024-09-08 00:00:00,4.5,52.5,185.0,-225.0,1,1
1202415,1,2024,76,2,20,26,20,26,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,away,Los Angeles-N,Rams,6,National,14,West,Detroit,Lions,6,National,4,North,1,0,1,2024-09-08 00:00:00,4.5,52.5,185.0,-225.0,1,1
1202416,1,2024,13,56,19,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,away,New York-A,Jets,7,American,5,East,San Francisco,49ers,6,National,14,West,0,0,1,2024-09-09 00:00:00,4.0,43.5,165.0,-200.0,1,1
1202416,1,2024,56,13,32,19,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,home,San Francisco,49ers,6,National,14,West,New York-A,Jets,7,American,5,East,0,0,1,2024-09-09 00:00:00,4.0,43.5,165.0,-200.0,1,1
1202417,1,2024,9,10,31,10,31,10,1,0,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,away,Buffalo,Bills,7,American,5,East,Miami,Dolphins,7,American,5,East,1,1,2,2024-09-12 00:00:00,2.5,49.0,115.0,-135.0,1,1
1202417,1,2024,10,9,10,31,10,31,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,home,Miami,Dolphins,7,American,5,East,Buffalo,Bills,7,American,5,East,1,1,2,2024-09-12 00:00:00,2.5,49.0,115.0,-135.0,1,1
1202418,1,2024,7,12,44,19,44,19,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,away,New Orleans,Saints,6,National,8,South,Dallas,Cowboys,6,National,5,East,1,0,2,2024-09-15 00:00:00,6.5,45.5,240.0,-300.0,1,1
